"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31303","Verify ""Visit Polestar"", ""Take a seat in the drivers seat"" and ""Polestar 2 as a company car"" options","webkit","Thu Aug 15 01:16:04 IST 2024","broken","Thu Aug 15 01:16:35 IST 2024","","uiTests\homeTest.spec.ts","",""
"","6517","Verify Polestar 2 image and buttons","chromium","Thu Aug 15 01:31:57 IST 2024","passed","Thu Aug 15 01:32:04 IST 2024","","uiTests\homeTest.spec.ts","",""
"","6191","Click on Menu button and verify all the menu options","chromium","Thu Aug 15 01:32:13 IST 2024","passed","Thu Aug 15 01:32:19 IST 2024","","uiTests\homeTest.spec.ts","",""
"","721","GET All Users","chromium","Thu Aug 15 01:31:56 IST 2024","passed","Thu Aug 15 01:31:57 IST 2024","User API Tests","apiTests\userApi.spec.ts","",""
"","31134","Verify Polestar 4 image and buttons","webkit","Thu Aug 15 01:15:31 IST 2024","broken","Thu Aug 15 01:16:02 IST 2024","","uiTests\homeTest.spec.ts","",""
"","822","GET All Users","firefox","Thu Aug 15 01:11:25 IST 2024","passed","Thu Aug 15 01:11:26 IST 2024","User API Tests","apiTests\userApi.spec.ts","",""
"","394","PUT Update User","chromium","Thu Aug 15 01:31:57 IST 2024","passed","Thu Aug 15 01:31:57 IST 2024","User API Tests","apiTests\userApi.spec.ts","",""
"","31792","Verify Polestar 4 image and buttons","firefox","Thu Aug 15 01:12:50 IST 2024","broken","Thu Aug 15 01:13:22 IST 2024","","uiTests\homeTest.spec.ts","",""
"","31634","Verify Polestar 2 image and buttons","firefox","Thu Aug 15 01:12:12 IST 2024","broken","Thu Aug 15 01:12:44 IST 2024","","uiTests\homeTest.spec.ts","",""
"","7188","Verify Polestar 4 image and buttons","chromium","Thu Aug 15 01:32:05 IST 2024","passed","Thu Aug 15 01:32:12 IST 2024","","uiTests\homeTest.spec.ts","",""
"","588","PUT Update User","webkit","Thu Aug 15 01:14:15 IST 2024","passed","Thu Aug 15 01:14:15 IST 2024","User API Tests","apiTests\userApi.spec.ts","",""
"","444","PUT Update User","firefox","Thu Aug 15 01:11:26 IST 2024","passed","Thu Aug 15 01:11:27 IST 2024","User API Tests","apiTests\userApi.spec.ts","",""
"","7615","Verify Polestar 3 image and buttons","chromium","Thu Aug 15 01:31:57 IST 2024","passed","Thu Aug 15 01:32:05 IST 2024","","uiTests\homeTest.spec.ts","",""
"","4416","Verify home page heading and cookies acceptance","chromium","Wed Aug 14 22:21:15 IST 2024","passed","Wed Aug 14 22:21:20 IST 2024","","uiTests\homeTest.spec.ts","",""
"","31503","Verify Polestar 2 image and buttons","webkit","Thu Aug 15 01:14:57 IST 2024","broken","Thu Aug 15 01:15:29 IST 2024","","uiTests\homeTest.spec.ts","",""
"","522","DELETE User","firefox","Thu Aug 15 01:11:27 IST 2024","passed","Thu Aug 15 01:11:27 IST 2024","User API Tests","apiTests\userApi.spec.ts","",""
"","754","POST Create New User","chromium","Thu Aug 15 01:31:56 IST 2024","passed","Thu Aug 15 01:31:57 IST 2024","User API Tests","apiTests\userApi.spec.ts","",""
"","31719","Verify ""Visit Polestar"", ""Take a seat in the drivers seat"" and ""Polestar 2 as a company car"" options","firefox","Thu Aug 15 01:13:29 IST 2024","broken","Thu Aug 15 01:14:01 IST 2024","","uiTests\homeTest.spec.ts","",""
"","9332","Navigate to Shop menu item","chromium","Thu Aug 15 00:23:25 IST 2024","passed","Thu Aug 15 00:23:35 IST 2024","","uiTests\homeTest.spec.ts","",""
"","31212","Click on Menu button and verify all the menu options","webkit","Thu Aug 15 01:16:37 IST 2024","broken","Thu Aug 15 01:17:09 IST 2024","","uiTests\homeTest.spec.ts","",""
"","539","DELETE User","webkit","Thu Aug 15 01:14:15 IST 2024","passed","Thu Aug 15 01:14:16 IST 2024","User API Tests","apiTests\userApi.spec.ts","",""
"","463","POST Create New User","firefox","Thu Aug 15 01:11:26 IST 2024","passed","Thu Aug 15 01:11:26 IST 2024","User API Tests","apiTests\userApi.spec.ts","",""
"","31711","Click on Menu button and verify all the menu options","firefox","Thu Aug 15 01:14:07 IST 2024","broken","Thu Aug 15 01:14:39 IST 2024","","uiTests\homeTest.spec.ts","",""
"","31359","Verify Polestar 3 image and buttons","firefox","Thu Aug 15 01:11:28 IST 2024","broken","Thu Aug 15 01:11:59 IST 2024","","uiTests\homeTest.spec.ts","",""
"","420","DELETE User","chromium","Thu Aug 15 01:31:57 IST 2024","passed","Thu Aug 15 01:31:57 IST 2024","User API Tests","apiTests\userApi.spec.ts","",""
"","977","GET All Users","webkit","Thu Aug 15 01:14:12 IST 2024","passed","Thu Aug 15 01:14:13 IST 2024","User API Tests","apiTests\userApi.spec.ts","",""
"","590","POST Create New User","webkit","Thu Aug 15 01:14:14 IST 2024","passed","Thu Aug 15 01:14:14 IST 2024","User API Tests","apiTests\userApi.spec.ts","",""
"","32423","Verify Polestar 3 image and buttons","webkit","Thu Aug 15 01:14:16 IST 2024","broken","Thu Aug 15 01:14:48 IST 2024","","uiTests\homeTest.spec.ts","",""
"","6867","Navigate to Polestar 2 menu item","chromium","Thu Aug 15 00:23:18 IST 2024","passed","Thu Aug 15 00:23:25 IST 2024","","uiTests\homeTest.spec.ts","",""
"","7309","Verify ""Visit Polestar"", ""Take a seat in the drivers seat"" and ""Polestar 2 as a company car"" options","chromium","Thu Aug 15 01:32:06 IST 2024","passed","Thu Aug 15 01:32:13 IST 2024","","uiTests\homeTest.spec.ts","",""
